Hallazgo;Fecha identificación
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de los bienes y facilitar la toma de decisiones.;3/3/2024
No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación. No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación.;2/3/2024
Control de validación de los servicios del proveedor de mantenimiento de los sistemas de cruces automáticos y control tráfico centralizado no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente. Control de validación de los servicios del proveedor de mantenimiento de los sistemas de cruces automáticos y control tráfico centralizado no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente.;1/3/2024
Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista. Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista.;29/2/2024
Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista. Controles de verificación respecto de las mantenciones y trabajos realizados no mitiga adecuadamente la probabilidad de incumplimiento del contratista.;28/2/2024
Gestión de autorizaciones para el contratista no permite asegurar el cumplimiento de la planificación del mantenimiento del sistema de electrificación. Gestión de autorizaciones para el contratista no permite asegurar el cumplimiento de la planificación del mantenimiento del sistema de electrificación.;27/2/2024
Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones. Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones.;26/2/2024
Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento. Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento.;25/2/2024
Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas. Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas.;24/2/2024
Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a  Valparaíso y las tarifas asociadas. Necesidad de especificar en contratos todos los servicios que presta la Empresa de los Ferrocarriles del Estado a  Valparaíso y las tarifas asociadas.;23/2/2024
Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados Necesidad de revisar el Modelo de Gestión de transferencia de costos de la Matriz con respecto a los servicios prestados a las filiales y de otros costos relacionados;22/2/2024
Necesidad de acordar niveles de servicio objetivos y medibles. Necesidad de acordar niveles de servicio objetivos y medibles.;21/2/2024
Necesidad de que se revise y actualice periódicamente las tarifas que se aplican anualmente entre empresas relacionadas. Necesidad de que se revise y actualice periódicamente las tarifas que se aplican anualmente entre empresas relacionadas.;20/2/2024
Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas. Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas.;19/2/2024
Necesidad de Aumentar y sistematizar la cobertura de la capacitación del personal en el Manual de Contingencias vigente. Necesidad de Aumentar y sistematizar la cobertura de la capacitación del personal en el Manual de Contingencias vigente.;18/2/2024
Necesidad de fortalecer el control de revisión en estaciones para la identificación de dctos que puedan causar accidentes a los pasajeros, por medio de la verificación de su ejecución. Necesidad de fortalecer el control de revisión en estaciones para la identificación de dctos que puedan causar accidentes a los pasajeros, por medio de la verificación de su ejecución.;17/2/2024
Necesidad de mejorar controles que permitan asegurar una asistencia oportuna a pasajeros en caso de accidentes o incidentes que afecten su integridad o la de sus bienes en estaciones. Necesidad de mejorar controles que permitan asegurar una asistencia oportuna a pasajeros en caso de accidentes o incidentes que afecten su integridad o la de sus bienes en estaciones.;16/2/2024
Necesidad de mejorar controles que permitan asegurar una asistencia oportuna a pasajeros en caso de accidentes o incidentes que afecten su integridad o la de sus bienes en estaciones. Necesidad de mejorar controles que permitan asegurar una asistencia oportuna a pasajeros en caso de accidentes o incidentes que afecten su integridad o la de sus bienes en estaciones.;15/2/2024
Necesidad de mejorar controles que permitan prevenir la ocurrencia de accidentes o incidentes y/o asegurar una asistencia oportuna a pasajeros durante su traslado. Necesidad de mejorar controles que permitan prevenir la ocurrencia de accidentes o incidentes y/o asegurar una asistencia oportuna a pasajeros durante su traslado.;14/2/2024
Necesidad de implementar controles sobre los registros contables para el proceso bajas del activo fijo. Necesidad de implementar controles sobre los registros contables para el proceso bajas del activo fijo.;13/2/2024
Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos. Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos.;12/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;11/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;10/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;9/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;8/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;7/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;6/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;5/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;4/2/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;3/2/2024
Falta establecer un repositorio para la información de la gestión del contrato. Falta establecer un repositorio para la información de la gestión del contrato.;2/2/2024
No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo. No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo.;1/2/2024
Necesidad de incorporar una verificación de autenticidad de los formularios F-30, F30- 1. Necesidad de incorporar una verificación de autenticidad de los formularios F-30, F30- 1.;31/1/2024
Necesidad de establecer un modelo para la determinación del deterioro de cartera acorde a IFRS 9 (Cat. C) Necesidad de establecer un modelo para la determinación del deterioro de cartera acorde a IFRS 9 (Cat. C);30/1/2024
Depuración continúa de los análisis contables (Cat. C) Depuración continúa de los análisis contables (Cat. C);29/1/2024
Acumulación de feriados legales por más de 2 períodos consecutivos (Cat. C) Acumulación de feriados legales por más de 2 períodos consecutivos (Cat. C);28/1/2024
Centralización de ingresos mensuales: inexistencia de interfaz entre módulos (B) Centralización de ingresos mensuales: inexistencia de interfaz entre módulos (B);27/1/2024
Saltos en correlativos de base transaccional. Saltos en correlativos de base transaccional.;26/1/2024
Sistema transaccional no incluye registros de las operaciones realizadas en la Oficina de Atención al Cliente (OAC). Sistema transaccional no incluye registros de las operaciones realizadas en la Oficina de Atención al Cliente (OAC).;25/1/2024
Accesos de usuarios SAP desde terminales asignadas a otros trabajadores. Accesos de usuarios SAP desde terminales asignadas a otros trabajadores.;24/1/2024
Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico. Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico.;23/1/2024
Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico. Necesidad de reforzar el control de verificación de las acreditaciones del personal de mantenimiento que se identifica ante Control Trafico.;22/1/2024
No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa. No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa.;21/1/2024
No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa. No se observa una inspección de dctos de rieles integra que abarque todos los sectores y en los tiempos requeridos por normativa.;20/1/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;19/1/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;18/1/2024
No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo. No es posible asegurar que se hayan realizado actividades de mantención en relación a la adecuada conservación actual de los túneles del tramo.;17/1/2024
Formalizar los controles claves realizados para verificar el cumplimiento del mantenimiento ejecutado a las vías. Formalizar los controles claves realizados para verificar el cumplimiento del mantenimiento ejecutado a las vías.;16/1/2024
Probabilidad de errores en información de seguimiento para la toma de decisiones. Probabilidad de errores en información de seguimiento para la toma de decisiones.;15/1/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de bienes y facilitar la toma de decisiones.;14/1/2024
Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de bienes y facilitar la toma de decisiones. Necesidad de implementar procesos de inventario y/o levantamiento de activos para la creación y mantención de registros actualizados que permitan la gestión eficiente del mantenimiento de bienes y facilitar la toma de decisiones.;13/1/2024
No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación. No fue posible asegurar la existencia de un mecanismo de control del cumplimiento de las actividades de mantenimiento por parte del proveedor y seguimiento de los acuerdos adoptados en reuniones de coordinación.;12/1/2024
Control de validación de los servicios del proveedor de mantenimiento del sistema de cruces automáticos, señalización, SCADA, control tráfico centralizado, no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente. Control de validación de los servicios del proveedor de mantenimiento del sistema de cruces automáticos, señalización, SCADA, control tráfico centralizado, no permite mitigar adecuadamente los riesgos de un mantenimiento no realizado o deficiente.;11/1/2024
Formalizar los controles realizados para verificar el cumplimiento del mantenimiento ejecutado al sistema de electrificación. Formalizar los controles realizados para verificar el cumplimiento del mantenimiento ejecutado al sistema de electrificación.;10/1/2024
Formalizar los controles realizados para verificar el cumplimiento del mantenimiento ejecutado al sistema de electrificación. Formalizar los controles realizados para verificar el cumplimiento del mantenimiento ejecutado al sistema de electrificación.;9/1/2024
Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones. Posibilidad de errores en información de seguimiento al plan de mantenimiento para la toma de decisiones.;8/1/2024
Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento. Necesidad de fortalecer el control sobre el stock mínimo de materiales/repuestos necesarios para el mantenimiento.;7/1/2024
Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas. Fortalecer las inspecciones preventivas al cumplimiento de las normativas vigentes de seguridad a los trabajadores de los contratistas.;6/1/2024
Se considera adecuada la recomendación, ya que es necesario establecer una vinculación contractual entre  y  Arica-La Paz, para la formalización adecuada de los servicios prestados y provistos en el marco de una operación entre empresas relacionadas.;5/1/2024
En cada ocasión en que el Directorio adopte acuerdos con partes relacionadas que tengan impacto financiero, esto será informado al Contador General de cada Filial, con copia de dicha comunicación al SG de Contabilidad de Casa Matriz.;4/1/2024
ID 214: Se otorga plazo de 30 días para definir las acciones que permitan abordar de forma ctiva el riesgo identificado. Responsable: Daniel Padilla Gutiérrez/ Jessica Leiva Orellana;3/1/2024
ID 215: Se otorga plazo de 30 días para definir las acciones que permitan abordar de forma ctiva el riesgo identificado. Responsable: Daniel Padilla Gutiérrez/ Jessica Leiva Orellana;2/1/2024
ID 216: Se otorga plazo de 30 días para definir las acciones que permitan abordar de forma ctiva el riesgo identificado. Responsable: Daniel Padilla Gutiérrez/ Jessica Leiva Orellana;1/1/2024
Trimestralmente se realizará una revisión de los movimientos de las cuentas contables de propiedad, planta y equipos al momento de realizar la nota a los estados financieros con la finalidad de comprobar que ambos registros se mantengan conciliados.;31/12/2023
Se otorga plazo para definir las acciones que permiten abordar de forma ctiva el riesgo identificado. Cabe destacar que las áreas de Contabilidad, Infraestructura y TI, se encuentran en proceso de analizar las medidas que permitan lograr mitigar el riesgo de forma adecuada;30/12/2023
ID 341: Contratación de servicio externo para el levantamiento de info (inventario total) Responsable: Gonzalo Sandoval Palma;29/12/2023
ID 342: Servicio de levantamiento y diagnóstico de la información existente en  (inventario, planos, informes, etc.) para identificar las brechas. Responsable: Gonzalo Sandoval Palma;28/12/2023
Evaluacion de Herramientas existentes y sus brechas (Sap y sus modulos, otros);27/12/2023
ID 344: Complemento de información existente en , mediante levantamiento de inventario, estado de conservación, identificación operativo/no operativo y valorización del activo. Responsable: Gonzalo Sandoval Palma;26/12/2023
Definir como queremos archivar la información en base a info item 3 y sus costos;25/12/2023
ID 346: Gestión de financiamiento para generar proyecto de gestión de activos   Responsable: Gonzalo Sandoval Palma;24/12/2023
ID 347: Definir un procedimiento de gestión de activos. Responsable: Gonzalo Sandoval Palma;23/12/2023
ID 348: Entrega informe final y plan de implementacion a contraloria y gob corporativo Responsable: Gonzalo Sandoval Palma;22/12/2023
Para el contenido de los auxiliares, se llevará a cabo una evaluación en el transcurso de un mes para determinar las medidas necesarias a implementar. El propósito es reducir de manera significativa la posibilidad de que el riesgo se materialice;21/12/2023
Se envia solicitud de apoyo a  MAtriz para  dictar una charla sobre eel procedimiento de adminsitracion de contratos actual.;20/12/2023
Confección de instructivo sobre la verificación de F-30 y F-31.;19/12/2023
Los contratos tienen un plazo limitado hasta el 31 de diciembre de 2023, con lo cual, concluido éste, se negocian las características fundamentales, a saber, objeto, plazo y precio. En el contrato se mantendrá la cláusula Quinta que estipula actualizaciones de los precios en caso de que se produzcan variaciones significativas en la estructura económica.;18/12/2023
Evaluación en el transcurso de un mes para determinar la criticidad del riesgo expuesto, así como para analizar las medidas necesarias a implementar. El propósito es reducir de manera significativa la posibilidad de que el riesgo se materialice;17/12/2023
En cada ocasión en que el Directorio adopte acuerdos con partes relacionadas que tengan impacto financiero, esto será informado al Contador General de cada Filial, con copia de dicha comunicación al SG de Contabilidad de Casa Matriz.;16/12/2023
La segunda etapa de capacitaciones comenzó el 24/07/2023 en  Sur, posterior a dicha capacitación continúa  Central, estas capacitaciones finalizarán antes de fin de año. Para futuros procesos de licitación, especificar con claridad los tiempos y plazos de realización de estas capacitaciones, en específico las que estén orientadas al personal de Inspección Técnica;15/12/2023
Puntualmente esta en proceso un proyecto de mejora en la seguridad de la maestranza San Eugenio (fecha del proyecto),  se evaluaran medidas de mitigación previas a la implementación del proyecto junto con la evaluación de una propuesta al Directorio rrente a lineamientos corporativos de seguridad.;14/12/2023
Se solicitará pronunciamiento a la Gerencia Legal si aplica la sesión del contrato de mantenimiento.;13/12/2023
Se realizará la reconfiguración del contrato de prestación en dos segmentos: el primero, compuesto por los servicios de mercado estandarizados y, el segundo, compuesto por los servicios especializados, ambos segmentos de servicios con un valor global. A su vez, se propone la estructuración de un segundo contrato, también con un valor global, que refleje los costos alocados en la matriz que deben ser distribuidos a cada operación a través de criterios aceptados y compartidos por todas las partes. Respecto a la sugerencia de especificar en forma detallada las tarifas de los servicios, sería un requisito ctuar una evaluación preliminar sobre la adopción de un modelo de prestación de servicios tarificados, considerando que se requeriría la reformulación de la estructura de administración, puesto que esto podría significar un aumento de costos y, adicionalmente, incorporar mayor complejidad al ejercicio, elementos que eventualmente podrían no compensar el beneficio perseguido.;12/12/2023
Se realizará la reconfiguración del contrato de prestación en dos segmentos: el primero, compuesto por los servicios de mercado estandarizados y, el segundo, compuesto por los servicios especializados, ambos segmentos de servicios con un valor global. A su vez, se propone la estructuración de un segundo contrato, también con un valor global, que refleje los costos alocados en la matriz que deben ser distribuidos a cada operación a través de criterios aceptados y compartidos por todas las partes. Respecto a la sugerencia de especificar en forma detallada las tarifas de los servicios, sería un requisito ctuar una evaluación preliminar sobre la adopción de un modelo de prestación de servicios tarificados, considerando que se requeriría la reformulación de la estructura de administración, puesto que esto podría significar un aumento de costos y, adicionalmente, incorporar mayor complejidad al ejercicio, elementos que eventualmente podrían no compensar el beneficio perseguido.;11/12/2023
Se realizará un proceso de análisis en colaboración con las áreas responsables de llevar a cabo las actividades asociadas a los servicios que están adecuadamente estandarizados en el mercado. El objetivo principal es determinar los criterios más adecuados que permitan establecer indicadores de desempeño concretos. Una vez que se haya definido los criterios apropiados, se procederá a establecer los indicadores de desempeño específicamente para aquellos servicios que se encuentren debidamente estandarizados en el mercado. Esto implica servicios como contabilidad, comunicaciones corporativas, remuneraciones, reclutamiento de personal y adquisiciones, entre otros. Se excluyen aquellos servicios que sean especializados y de alto nivel, como las sesiones de directorio destinadas a abordar temas relacionados con filiales, representaciones y gestiones de ejecutivos ante autoridades. Estos servicios, debido a su naturaleza intrínseca, son difíciles de estandarizar y, por lo tanto, resulta complicado medir su desempeño de manera ctiva. Considerando lo anterior, es requisito ctuar la evaluación de un diseño de gestión eficiente del sistema de indicadores resultantes de forma tal que se cumpla con los objetivos dispuestos en un marco de acción discutido y acordado entre las partes.;10/12/2023
Confección del programa de capacitación y simulacros.;9/12/2023
 Central realizará una serie de Charlas Recordatorias de las acciones que competen a los Js o Encargados de Estación, contenidas en el Manual de Contingencia. La realización de las charlas, quedarán plasmadas en un documento suscrito. La ejecución de dichas charlas debe considerar que los servicios a pasajeros no se vean afectados, motivo por el cual se estimó un periodo de implementación de 6 meses (diseño de contenido, preparación de capacitadores, bajada de información al personal, realización de charlas y evaluación). De manera adicional, se analizará la posibilidad de realizar simulacros, los que no deben afectar el servicio de transporte de pasajeros, considerando los distintos turnos y días de la semana en que trabaja el personal.;8/12/2023
El requerimiento ya fue realizado a la Gerencia de Tecnología y Soluciones Digitales durante el año 2023 (activos menores), la cual compró una cantidad menor a las solicitadas por las distintas Gerencias de  Central, definiendo dicha gerencia que nuestra área no era prioridad para la entrega de la dotación comprada. Se reiterará el requerimiento apoyado con el informe de auditoría.;7/12/2023
Se incorporará check-list para revisión de implementos de primeros auxilios, a realizarse al menos dos veces a la semana. Detectada la ausencia de un elemento, se debe solicitar el producto al área correspondiente.  Se debe generar el plan de capacitacion en materia de seguridad de pasajeros bajos la responsabilidad de Carolina Panades, se prepara un paln de capacitaciones generales para todo el personal de  Central.;6/12/2023
Trimestralmente se realizará una revisión de los movimientos de las cuentas contables de propiedad, planta y equipos al momento de realizar la nota a los estados financieros con la finalidad de comprobar que ambos registros se mantengan conciliados.;5/12/2023
Se otorga plazo para definir las acciones que permiten abordar de forma ctiva el riesgo identificado. Cabe destacar que las áreas de Contabilidad, Infraestructura y TI, se encuentran en proceso de analizar las medidas que permitan lograr mitigar el riesgo de forma adecuada.;4/12/2023
ID 349 : Contratación de servicio externo para el levantamiento de info (inventario total) Responsable: Gonzalo Sandoval Palma;3/12/2023
ID350: Servicio de levantamiento y diagnóstico de la información existente en  (inventario, planos, informes, etc.) para identificar las brechas. Responsable: Gonzalo Sandoval Palma;2/12/2023
Evaluacion de Herramientas existentes y sus brechas (Sap y sus modulos, otros);1/12/2023
ID 352: Complemento de información existente en , mediante levantamiento de inventario, estado de conservación, identificación operativo/no operativo y valorización del activo. Responsable: Gonzalo Sandoval Palma;30/11/2023
Definir como queremos archivar la información en base a info item 3 y sus costos;29/11/2023
ID 354: Gestión de financiamiento para generar proyecto de gestión de activos Responsable: Gonzalo Sandoval Palma;28/11/2023
ID 355: Definir un procedimiento de gestión de activos. Responsable: Gonzalo Sandoval Palma;27/11/2023
ID 356: Entrega informe final y plan de implementacion a contraloria y gob corporativo Responsable: Gonzalo Sandoval Palma;26/11/2023
Para el contenido de los auxiliares, se llevará a cabo una evaluación en el transcurso de un mes para determinar las medidas necesarias a implementar. El propósito es reducir de manera significativa la posibilidad de que el riesgo se materialice.;25/11/2023
Ahora bien, considerando que el método utilizado, está implementado con base a lo que la NIIF 9 propone como alternativa de aplicación para el enfoque simplificado, igualmente realizaremos una evaluación de los datos definidos para establecer si es necesario ajustar el modelo actualmente utilizado por la compañía respecto a la base de provisiones de acuerdo con las tasas históricas de pérdida para definir las pérdidas esperadas sobre las cuentas comerciales.;24/11/2023
Semestralmente se revisará la situación de cada trabajador con exceso, donde se volverá a solicitar una planificación anual, que será coordinada con cada jefatura directa, en caso de mantenerse dicha situación se informará a cada gerente de área. Los casos críticos serán evaluados individualmente para establecer si corresponde a un caso excepcional, el que será revisado con la Gerenta de Personas, para buscar la mejor solución al exceso de vacaciones, estos casos serán autorizados por el Gerente o J Directo y la Gerente de Personas. En los casos de licencias médicas permanentes se mantendrá dicha situación, hasta que el trabajador retome sus labores.;23/11/2023
La Administración se compromete s abordar este tema de compensación manual;22/11/2023
Tal como se indica en el seguimiento, actualmente se realizan controles automáticos y manuales los que seguirán operando, y que en caso de ser necesario se complementarán con otras medidas hasta la implementación de la 3° fase del proyecto de Medio de Pago único. Una vez que finalice la 3° fase de implementación del proyecto Medio de Pago Único, comenzarán las gestiones de acuerdo, definición de estrategia y establecimiento de solución para la integración del sistema medios de Pago con plataforma SAP ERP. Para ello, se dispone de una planificación inicial que contempla todas las actividades requeridas para su implementación.;21/11/2023
El área de seguridad de la información, incorporará dentro de sus actividades de control de monitoreo periódico de los accesos de usuarios SAP a través de otros terminales. Adicionalmente se consultará a proveedor de Sistema Centinel Box la factibilidad técnica de implementación de una alerta en caso de que se materialice el evento, o a través de la misma plataforma SAP;20/11/2023
Durante marzo de 2021 se ctuó un proceso de cotización para determinar la factibilidad de realizar un cambio en el Sistema, en el que se incorporaría la opción de venta de distintos tipos de tarjetas. En la oportunidad este cambio no fue realizado debido a que ya estaba en desarrollo el proyecto de implementación de un nuevo sistema de medios de pago que es transversal para todas las empresas . Este nuevo sistema será puesto en producción en  Central en el último trimestre del año 2023, sistema que incluye la opción de registrar distintos tipos de tarjetas y valores asociadas a ellas. Debido a esta situación, es que no se contemplan cambios al actual sistema en uso. Tal como se ha señalado, la opción de registros de venta de otros tipos de tarjetas se implementará en el nuevo sistema de medios de pago, en producción durante el último trimestre de 2023.;19/11/2023
En diciembre de 2020, se ctuó un proceso de cotización para determinar la factibilidad de implementar en el sistema un nuevo medio de pago relacionado con Transbank. En la oportunidad este cambio no fue realizado debido a que ya estaba en desarrollo el proyecto de implementación de un nuevo sistema de medios de pago que es transversal para todas las empresas . este nuevo sistema será puesto en producción en  Central en el último trimestre del año 2023, sistema que incluye la integración del medio de pago Transbank. Debido a esta situación, es que no se contemplan cambios al actual sistema en uso. Tal como se ha señalado, la incorporación de nuevos medios de pago, incluyendo reportería que permite que los procesos de cierre y cuadratura de caja sea más eficiente, se implementará en el nuevo sistema de medios de pago, en producción durante el último trimestre de 2023.;18/11/2023
ID 366: Se incorporará en el check list de la visita a terreno de los inspectores la revisión y existencia del P5.1 en terreno y su vigencia de la acreditación. Responsable: Manuel Rodríguez Amengual;17/11/2023
ID 370: Se realizará la  adaptación de una aplicación con la que el  equipo de TI cuenta actualmente, para verificar la ubicación del personal en el sitio de la obra.  Responsable: Manuel Rodriguez Amengual;16/11/2023
ID 373 La acción inmediata para medir los sectores con retraso, será activando la medición con los proveedores vigentes de vías. Se mantendrá esta medida hasta que inicie el nuevo contrato, el que se encuentra en proceso de licitación. Responsable: Daniel Padilla Gutierrez;15/11/2023
ID 374: Como medida a largo plazo, se contratará un servicio de auscultación de riel con las frecuencias normativas. La publicación fue el 15 de mayo y la adjudicación se estima para julio de este año. cronograma de licitación Responsable: Daniel Padilla Gutierrez;14/11/2023
ID375: Se activarán las inspecciones para verificar el estado de conservación de túneles y en caso de ser necesario activar alguna actividad de mantenimiento. Responsable: Daniel Padilla Gutierrez;13/11/2023
ID 376: Durante el segundo semestre 2024, se confeccionará la ficha IDI de conservación de Túneles Una vez teniendo marco inversor y presupuesto asignado, se iniciará un proceso de licitación para contratar los servicios de mantenimiento. Los Túneles, no cuentan con marco inversor en , se incluye en Plan Trienal 2024-2025-2026. Responsable: Daniel Padilla Gutierrez;12/11/2023
"ID 377: Se solicita a la G. de Planificación y Desarrollo, la incorporación al Comité de Inversiones la iniciativa ""Catastro y Diagnostico de Túneles"", para retomarla. Responsable: Daniel Padilla Gutierrez";11/11/2023
ID 378: Se confeccionará e implementará un protocolo de control de la ejecución en terreno de las actividades de mantenimiento. Responsable: Daniel Padilla Gutierrez;10/11/2023
ID 379: La planificación de actividades (PMM) se realiza actualmente en Excel y la herramienta tecnológica Fracttal, esta última en proceso de implementación. Se implementarán medidas de protección de la información del sistema que actualmente se usa (excel). Existe un plan de implementación Fracttal, donde se irán cargando los contratos de vías, esta herramienta, contiene el inventario de la infraestructura ferroviaria y permite generar Ordenes de Trabajo, las que darán trazabilidad a las actividades de mantenimiento y su ejecución. Responsable: Daniel Padilla Gutierrez;9/11/2023
ID 399: En licitación pública en curso, se encuentran los tres SCADA, por lo tanto, mediante su adjudicación se resuelve de manera definitiva el riesgo. Responsable: Gonzalo Sandoval Palma;8/11/2023
ID400: Existe un inventario de activos ferroviarios vigente, que es la información base del plan de mantenimiento. Con este inventario se tiene la seguridad que los activos incluidos están siendo abordados con sus respectivas actividades de mantenimiento, y algunas brechas han sido identificadas y cuentan con un plan de acción. Se revisará y actualizará el plan de mantenimiento incorporando los ajustes en actividades y frecuencias evaluadas durante el 2024. Responsable: Gonzalo Sandoval Palma;7/11/2023
ID 401: El Plan de Gestión de Activos presentado en Comité de Auditoría de Julio 2024, define el programa de trabajo para llevar a cabo la iniciativa de actualizar el inventario Responsable: Gonzalo Sandoval Palma;6/11/2023
Se señala que el sistema embarcado no forma como un control que pueda ocasionar un accidente. El equipamiento embarcado sirve de evidencia que se compone por 3 ámbitos que son revisados en caso de accidente: • Cámara de visualización • GPS que registra movimiento satelital • Tablet, apoya a la entrega de información. indica la velocidad y prevenciones próximas. Las reuniones técnicas abarcan instalaciones, nuevos proyectos o solicitudes, también en caso de visualizar algún problema, son conversados en reunión. Plan de acción -Se incluirá en el informe técnico de equipamiento embarcado entregado por el proveedor la firma de responsables  en el que se debe incluir al Administrador Técnico del Contrato. -Este documento debe ser incluido en el pago del contrato (mes). Responsabilidad: Administrador de Contrato -Generar un acta/minuta de reunión ctuadas. Responsabilidad: Administrador de Contrato;5/11/2023
